FID,SHAPE,NAME,ADRESSE,WEBLINK1,WEBLINK2,SE_SDO_ROWID,SE_ANNO_CAD_DATA
BUERGERDIENSTOGD.482467,POINT (16.370924740543575 48.233191606722954),Bezirksbürgerdienst für den 20. Bezirk,"20., Brigittaplatz 10, Erdgeschoss, Tür 9",http://www.wien.gv.at/advuew/internet/AdvPrSrv.asp?Layout=stelle&Type=K&stellecd=2010010810383938&STELLE=Y020217365872&AUSSEN=Y,,482467,
BUERGERDIENSTOGD.482468,POINT (16.32708081313027 48.2093724419118),Bezirksbürgerdienst für den 16. Bezirk,"16., Richard-Wagner-Platz 19, Erdgeschoss",http://www.wien.gv.at/advuew/internet/AdvPrSrv.asp?Layout=stelle&Type=K&stellecd=1995060715321996&AUSSEN=Y,,482468,
BUERGERDIENSTOGD.482469,POINT (16.35654246038192 48.21107438086338),Bezirksbürgerdienst für den 1./8. Bezirk,"1., Friedrich-Schmidt-Platz 1, Erdgeschoss, Zi. 19b",http://www.wien.gv.at/advuew/internet/AdvPrSrv.asp?Layout=stelle&Type=K&stellecd=2007012908334914&AUSSEN=Y,,482469,
BUERGERDIENSTOGD.482470,POINT (16.354171833119267 48.191060096739946),Bezirksbürgerdienst für den 4./5./6./7. Bezirk,"5., Rechte Wienzeile 105, Erdgeschoss",http://www.wien.gv.at/advuew/internet/AdvPrSrv.asp?Layout=stelle&Type=K&stellecd=1996020217313082&AUSSEN=Y,,482470,
BUERGERDIENSTOGD.482471,POINT (16.379328949280694 48.215586661394994),Bezirksbürgerdienst für den 2. Bezirk,"2., Kleine Sperlgasse 10, Erdgeschoss",http://www.wien.gv.at/advuew/internet/AdvPrSrv.asp?Layout=stelle&Type=K&stellecd=1995060715385317&AUSSEN=Y,,482471,
BUERGERDIENSTOGD.482472,POINT (16.3507835295198 48.22171001243119),Bezirksbürgerdienst für den 9./18./19. Bezirk,"9., Wilhelm-Exner-Gasse 5, Erdgeschoss",http://www.wien.gv.at/advuew/internet/AdvPrSrv.asp?Layout=stelle&Type=K&stellecd=1995060714371607&AUSSEN=Y,,482472,
BUERGERDIENSTOGD.482473,POINT (16.37400088935224 48.17861766449058),Bezirksbürgerdienst für den 10. Bezirk,"10., Laxenburger Straße 43-45, Erdgeschoss EG, Zi. 22",http://www.wien.gv.at/advuew/internet/AdvPrSrv.asp?Layout=stelle&Type=K&stellecd=1995052914155772&AUSSEN=Y,,482473,
BUERGERDIENSTOGD.482474,POINT (16.29994182879227 48.188331469427105),Bezirksbürgerdienst für den 12./13./14. Bezirk,"13., Hietzinger Kai 1, Stiege 3, 1. Stock, Tür 129",http://www.wien.gv.at/advuew/internet/AdvPrSrv.asp?Layout=stelle&Type=K&stellecd=1995060709494785&AUSSEN=Y,,482474,
BUERGERDIENSTOGD.482475,POINT (16.332091173256245 48.21827862221089),Bezirksbürgerdienst für den 17. Bezirk,"17., Elterleinplatz 14, Erdgeschoss, Tür E7",http://www.wien.gv.at/advuew/internet/AdvPrSrv.asp?Layout=stelle&Type=K&stellecd=1995060715353271&AUSSEN=Y,,482475,
BUERGERDIENSTOGD.482476,POINT (16.397125557614228 48.25808912214477),Bezirksbürgerdienst für den 21. Bezirk,"21., Am Spitz 1, Erdgeschoss",http://www.wien.gv.at/advuew/internet/AdvPrSrv.asp?Layout=stelle&Type=K&stellecd=1995060715393726&AUSSEN=Y,,482476,
BUERGERDIENSTOGD.482477,POINT (16.28201852586156 48.13484038300923),Bezirksbürgerdienst für den 23. Bezirk,"23., Perchtoldsdorfer Straße 2, Erdgeschoss, Tür E05, Eingang : Ecke Häckelstraße",http://www.wien.gv.at/advuew/internet/AdvPrSrv.asp?Layout=stelle&Type=K&stellecd=1995060715423967&AUSSEN=Y,,482477,
BUERGERDIENSTOGD.482478,POINT (16.437903194638245 48.24110039098909),Bezirksbürgerdienst für den 22. Bezirk,"22., Schrödingerplatz 1, Erdgeschoss",http://www.wien.gv.at/advuew/internet/AdvPrSrv.asp?Layout=stelle&Type=K&stellecd=1996040915582112&AUSSEN=Y,,482478,
BUERGERDIENSTOGD.482479,POINT (16.33368133412155 48.19408440311049),Bezirksbürgerdienst für den 15. Bezirk,"15., Rosinagasse 4, Erdgeschoss, Tür 16A",http://www.wien.gv.at/advuew/internet/AdvPrSrv.asp?Layout=stelle&Type=K&stellecd=1995060715271029&AUSSEN=Y,,482479,
BUERGERDIENSTOGD.482480,POINT (16.413525663151304 48.17548116533292),Bezirksbürgerdienst für den 11. Bezirk,"11., Enkplatz 2, Erdgeschoss",http://www.wien.gv.at/advuew/internet/AdvPrSrv.asp?Layout=stelle&Type=K&stellecd=1995060715215944&AUSSEN=Y,,482480,
BUERGERDIENSTOGD.482481,POINT (16.356542708524874 48.21085322071572),Stadtinformationszentrum,"1., Friedrich-Schmidt-Platz 1",http://www.wien.gv.at/buergerdienst/stadtinfo/index.html,,482481,
BUERGERDIENSTOGD.482482,POINT (16.38863074774395 48.20138354672337),Bezirksbürgerdienst für den 3. Bezirk,"3., Karl-Borromäus-Platz 3, Erdgeschoss, Tür 26",http://www.wien.gv.at/advuew/internet/AdvPrSrv.asp?Layout=stelle&Type=K&stellecd=1995060714273737&AUSSEN=Y,,482482,
