FID,SHAPE,NAME,ADRESSE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,WEBLINK1
POLIZEIOGD.482167,POINT (16.364160330844634 48.2150752347662),Landespolizeidirektion Wien,"1., Schottenring 7-9",482167,,http://www.polizei.gv.at/
POLIZEIOGD.482183,POINT (16.35727655828703 48.234316227581736),Landespolizeidirektion Wien Verkehrsamt,"9., Josef-Holaubek-Platz 1",482183,,http://www.polizei.gv.at/
POLIZEIOGD.482017,POINT (16.35768946045173 48.18814934090008),Polizeiinspektion Viktor-Christ-Gasse,"5., Viktor-Christ-Gasse 19",482017,,http://www.polizei.gv.at/
POLIZEIOGD.482383,POINT (16.32439198633503 48.17429103842566),Polizeiinspektion Hohenbergstraﬂe,"12., Hohenbergstraﬂe 1",482383,,http://www.polizei.gv.at/
POLIZEIOGD.482384,POINT (16.281956403426594 48.2073427789702),Polizeiinspektion Baumgartner Hˆhe,"14., Baumgartner Hˆhe 2",482384,,http://www.polizei.gv.at/
POLIZEIOGD.482385,POINT (16.386044767521412 48.206979467750756),Polizeiinspektion Wien Mitte,"3., Invalidenstraﬂe 2",482385,,http://www.polizei.gv.at/
POLIZEIOGD.482404,POINT (16.366653305928562 48.2599104918357),Polizeiinspektion Nuﬂdorfer Platz,"19., Nuﬂdorfer Platz 1-2",482404,,http://www.polizei.gv.at/
POLIZEIOGD.482405,POINT (16.326213527986884 48.16087017267396),Polizeiinspektion Am Schˆpfwerk,"12., Am Schˆpfwerk 29",482405,,http://www.polizei.gv.at/
POLIZEIOGD.482406,POINT (16.369073521101704 48.20131271282622),Polizeiinspektion K‰rntnertorpassage (Karlsplatz),"1., K‰rntnertorpassage",482406,,http://www.polizei.gv.at/
POLIZEIOGD.482407,POINT (16.30238546862456 48.18596031474352),Polizeiinspektion Am Platz,"13., Am Platz (Schˆnbrunn, Hiietzinger Tor)",482407,,http://www.polizei.gv.at/
POLIZEIOGD.482124,POINT (16.35590491326174 48.24736003032419),Polizeiinspektion Hohe Warte,"19., Hohe Warte 32",482124,,http://www.polizei.gv.at/
POLIZEIOGD.482125,POINT (16.36939146914255 48.23397104710073),Polizeiinspektion Pappenheimgasse,"20., Pappenheimgasse 33",482125,,http://www.polizei.gv.at/
POLIZEIOGD.482126,POINT (16.378233253402197 48.2105703189264),Polizeiinspektion Laurenzerberg,"1., Laurenzerberg 2",482126,,http://www.polizei.gv.at/
POLIZEIOGD.482127,POINT (16.369658994390015 48.179082553513204),Polizeiinspektion Van-der-N¸ll-Gasse,"10., Van-der-N¸ll-Gasse 11",482127,,http://www.polizei.gv.at/
POLIZEIOGD.482128,POINT (16.35306754430465 48.197073891921264),Polizeiinspektion Kopernikusgasse,"6., Kopernikusgasse 1",482128,,http://www.polizei.gv.at/
POLIZEIOGD.482129,POINT (16.219300029332487 48.2077516929226),Polizeiinspektion Albert-Schweitzer-Gasse,"14., Albert-Schweitzer-Gasse 4",482129,,http://www.polizei.gv.at/
POLIZEIOGD.482130,POINT (16.372217991841087 48.20958782280669),Polizeiinspektion Brandst‰tte,"1., Brandst‰tte 4",482130,,http://www.polizei.gv.at/
POLIZEIOGD.482132,POINT (16.473833077685956 48.21799742865064),Polizeiinspektion Langobardenstraﬂe,"22., Langobardenstraﬂe 128",482132,,http://www.polizei.gv.at/
POLIZEIOGD.482133,POINT (16.447495545559217 48.270505463511086),Polizeiinspektion Dopschstraﬂe (Groﬂfeldsiedlung),"21., Dopschstraﬂe 29",482133,,http://www.polizei.gv.at/
POLIZEIOGD.482134,POINT (16.33241062497966 48.197458626240156),Polizeiinspektion Tannengasse,"15., Tannengasse 6-10",482134,,http://www.polizei.gv.at/
POLIZEIOGD.482135,POINT (16.40541959595258 48.272997474955986),Polizeiinspektion Trillergasse,"21., Trillergasse 6",482135,,http://www.polizei.gv.at/
POLIZEIOGD.482136,POINT (16.35730542915332 48.22702714594988),Polizeiinspektion Lichtentaler Gasse,"9., Lichtentaler Gasse 4",482136,,http://www.polizei.gv.at/
POLIZEIOGD.482137,POINT (16.334159071195785 48.15001445442791),Polizeiinspektion Purkytgasse,"23., Purkytgasse 1",482137,,http://www.polizei.gv.at/
POLIZEIOGD.482138,POINT (16.424497295149912 48.1658403665493),Polizeiinspektion Simmeringer Hauptstraﬂe,"11., Simmeringer Hauptstraﬂe 164",482138,,http://www.polizei.gv.at/
POLIZEIOGD.482139,POINT (16.355372591691523 48.21597563552399),Polizeiinspektion Otto-Wagner-Platz,"9., Otto-Wagner-Platz 4-4A",482139,,http://www.polizei.gv.at/
POLIZEIOGD.482140,POINT (16.454841778572217 48.26037535366768),Polizeiinspektion Rennbahnweg,"22., Rennbahnweg 27/3",482140,,http://www.polizei.gv.at/
POLIZEIOGD.482142,POINT (16.340698409033724 48.21363249368135),Polizeiinspektion Hernalser G¸rtel,"8., Hernalser G¸rtel 6-12",482142,,http://www.polizei.gv.at/
POLIZEIOGD.482143,POINT (16.382947971079062 48.209930426751036),Polizeiinspektion Stubenring,"1., Stubenring 1",482143,,http://www.polizei.gv.at/
POLIZEIOGD.482145,POINT (16.302800316302108 48.19864127342943),Polizeiinspektion Leyserstraﬂe,"14., Leyserstraﬂe 2",482145,,http://www.polizei.gv.at/
POLIZEIOGD.482146,POINT (16.338457460173 48.184452534025525),Polizeiinspektion Arndtstraﬂe,"12., Arndtstraﬂe 40",482146,,http://www.polizei.gv.at/
POLIZEIOGD.482147,POINT (16.31723331564662 48.224515586177006),Polizeiinspektion Halirschgasse,"17., Halirschgasse 16",482147,,http://www.polizei.gv.at/
POLIZEIOGD.482148,POINT (16.408890557055898 48.22332731761859),Polizeiinspektion Handelskai,"2., Handelskai 267",482148,,http://www.polizei.gv.at/
POLIZEIOGD.482149,POINT (16.371157919740288 48.19497869306834),Polizeiinspektion Taubstummengasse,"4., Taubstummengasse 11",482149,,http://www.polizei.gv.at/
POLIZEIOGD.482151,POINT (16.41504118340539 48.229742152582006),Polizeiinspektion Rudolf-Nurejew-Promenade,"22., Rudolf-Nurejew-Promenade 1",482151,,http://www.polizei.gv.at/
POLIZEIOGD.482154,POINT (16.393668387076342 48.19655696845571),Polizeiinspektion Juchgasse,"3., Juchgasse 19",482154,,http://www.polizei.gv.at/
POLIZEIOGD.482155,POINT (16.446849406347397 48.22759359885721),Polizeiinspektion Lange Allee,"22., Lange Allee 13",482155,,http://www.polizei.gv.at/
POLIZEIOGD.482156,POINT (16.358032389258014 48.206301588876435),Polizeiinspektion Schmerlingplatz,"1., Schmerlingplatz 10-11",482156,,http://www.polizei.gv.at/
POLIZEIOGD.482157,POINT (16.340967836346515 48.221101483920435),Polizeiinspektion Martinstraﬂe,"18., Martinstraﬂe 40",482157,,http://www.polizei.gv.at/
POLIZEIOGD.482158,POINT (16.405404387418915 48.21763611167676),Polizeiinspektion Ausstellungsstraﬂe,"2., Ausstellungsstraﬂe 44",482158,,http://www.polizei.gv.at/
POLIZEIOGD.482159,POINT (16.404345725628414 48.196274616630845),Polizeiinspektion Fiakerplatz,"3., Fiakerplatz 4",482159,,http://www.polizei.gv.at/
POLIZEIOGD.482160,POINT (16.416770388956433 48.29370995147974),Polizeiinspektion Kummergasse,"21., Kummergasse 7",482160,,http://www.polizei.gv.at/
POLIZEIOGD.482161,POINT (16.259602048451292 48.20164236623047),Polizeiinspektion Linzer Straﬂe,"14., Linzer Straﬂe 395",482161,,http://www.polizei.gv.at/
POLIZEIOGD.482164,POINT (16.32800474156539 48.24211663073),Polizeiinspektion Krottenbachstraﬂe,"19., Krottenbachstraﬂe 106",482164,,http://www.polizei.gv.at/
POLIZEIOGD.482165,POINT (16.347962243890052 48.21041388126578),Polizeiinspektion Fuhrmannsgasse,"8., Fuhrmannsgasse 5",482165,,http://www.polizei.gv.at/
POLIZEIOGD.482166,POINT (16.382758473079136 48.163822447394125),Polizeiinspektion Favoritenstraﬂe,"10., Favoritenstraﬂe 211",482166,,http://www.polizei.gv.at/
POLIZEIOGD.482168,POINT (16.319388983223625 48.23816900838161),Polizeiinspektion Gersthofer Straﬂe,"18., Gersthofer Straﬂe 135",482168,,http://www.polizei.gv.at/
POLIZEIOGD.482169,POINT (16.31354518344781 48.149980160165896),Polizeiinspektion Anton-Baumgartner Straﬂe,"23., Anton-Baumgartner-Straﬂe 125",482169,,http://www.polizei.gv.at/
POLIZEIOGD.482170,POINT (16.367441502201746 48.210548195294656),Polizeiinspektion Am Hof,"1., Am Hof 3-4",482170,,http://www.polizei.gv.at/
POLIZEIOGD.482171,POINT (16.33900551264115 48.201535646026194),Polizeiinspektion Urban-Loritz-Platz,"7., Urban-Loritz-Platz 7",482171,,http://www.polizei.gv.at/
POLIZEIOGD.482172,POINT (16.39099080197329 48.21842792651906),Polizeiinspektion Praterstern,"2., Praterstern",482172,,http://www.polizei.gv.at/
POLIZEIOGD.482174,POINT (16.36729922945971 48.20400195548838),Polizeiinspektion Goethegasse,"1., Goethegasse 1",482174,,http://www.polizei.gv.at/
POLIZEIOGD.482175,POINT (16.385297974835712 48.152771796976744),Polizeiinspektion Ada-Christen-Gasse,"10., Ada-Christen-Gasse 2",482175,,http://www.polizei.gv.at/
POLIZEIOGD.482176,POINT (16.36716945352828 48.18808754076806),Polizeiinspektion Rainergasse,"4., Rainergasse 21",482176,,http://www.polizei.gv.at/
POLIZEIOGD.482177,POINT (16.318547849906967 48.21369473801383),Polizeiinspektion Wattgasse,"16., Wattgasse 15",482177,,http://www.polizei.gv.at/
POLIZEIOGD.482178,POINT (16.384793211063442 48.23506885439811),Polizeiinspektion Pasettistraﬂe,"20., Pasettistraﬂe 81-83",482178,,http://www.polizei.gv.at/
POLIZEIOGD.482179,POINT (16.528201857144666 48.217881638548484),Polizeiinspektion Rosenbergstraﬂe,"22., Rosenbergstraﬂe 37",482179,,http://www.polizei.gv.at/
POLIZEIOGD.482180,POINT (16.34342947841161 48.24509630335921),Polizeiinspektion Billrothstraﬂe,"19., Billrothstraﬂe 79A",482180,,http://www.polizei.gv.at/
POLIZEIOGD.482181,POINT (16.469774584648878 48.15277173334041),Polizeiinspektion S‰ngergasse,"11., S‰ngergasse 11",482181,,http://www.polizei.gv.at/
POLIZEIOGD.482182,POINT (16.361272722302505 48.22612635480198),Polizeiinspektion Julius-Tandler-Platz,"9., Julius-Tandler-Platz 3",482182,,http://www.polizei.gv.at/
POLIZEIOGD.482184,POINT (16.34626266987875 48.20290884981358),Polizeiinspektion Kandlgasse,"7., Kandlgasse 4",482184,,http://www.polizei.gv.at/
POLIZEIOGD.482185,POINT (16.41324324612067 48.17517576538795),Polizeiinspektion Sedlitzkygasse,"11., Sedlitzkygasse 27",482185,,http://www.polizei.gv.at/
POLIZEIOGD.482186,POINT (16.280907917985726 48.13549364087686),Polizeiinspektion Lehmanngasse,"23., Lehmanngasse 3A",482186,,http://www.polizei.gv.at/
POLIZEIOGD.482187,POINT (16.36377099232943 48.21490511563443),Polizeiinspektion Schottenring,"1., Schottenring 7-9",482187,,http://www.polizei.gv.at/
POLIZEIOGD.482188,POINT (16.3160598793254 48.13173685126423),Polizeiinspektion Karl-Tornay-Gasse,"23., Karl-Tornay-Gasse 37-39",482188,,http://www.polizei.gv.at/
POLIZEIOGD.482189,POINT (16.469881563038793 48.23495436497951),Polizeiinspektion Quadenstraﬂe,"22., Quadenstraﬂe 8",482189,,http://www.polizei.gv.at/
POLIZEIOGD.482190,POINT (16.344227479623317 48.194311880633215),Polizeiinspektion Stumpergasse,"6., Stumpergasse 42",482190,,http://www.polizei.gv.at/
POLIZEIOGD.482192,POINT (16.306437096128807 48.213927256889725),Polizeiinspektion Maroltingergasse,"16., Maroltingergasse 79",482192,,http://www.polizei.gv.at/
POLIZEIOGD.482193,POINT (16.464341285530942 48.159904716089386),Polizeiinspektion Kaiser-Ebersdorfer Straﬂe,"11., Kaiser-Ebersdorfer Straﬂe 290",482193,,http://www.polizei.gv.at/
POLIZEIOGD.482194,POINT (16.39728764472064 48.26031581677159),Polizeiinspektion Hermann-Bahr-Straﬂe,"21., Hermann-Bahr-Straﬂe 3",482194,,http://www.polizei.gv.at/
POLIZEIOGD.482195,POINT (16.320454941722584 48.19823025812394),Polizeiinspektion Wurmsergasse,"15., Wurmsergasse 35",482195,,http://www.polizei.gv.at/
POLIZEIOGD.482196,POINT (16.377032990979004 48.17943738107042),Polizeiinspektion Keplergasse,"10., Keplergasse 10",482196,,http://www.polizei.gv.at/
POLIZEIOGD.482197,POINT (16.356523551522347 48.223653102863985),Polizeiinspektion Boltzmanngasse,"9., Boltzmanngasse 20",482197,,http://www.polizei.gv.at/
POLIZEIOGD.482198,POINT (16.37881769587403 48.20001489551002),Polizeiinspektion Marokkanergasse,"3., Marokkanergasse 4",482198,,http://www.polizei.gv.at/
POLIZEIOGD.482200,POINT (16.277302177499944 48.18968814303218),Polizeiinspektion Preindlgasse,"13., Preindlgasse 21-23",482200,,http://www.polizei.gv.at/
POLIZEIOGD.482201,POINT (16.333374561584808 48.20653414519167),Polizeiinspektion Koppstraﬂe,"16., Koppstraﬂe 9-11",482201,,http://www.polizei.gv.at/
POLIZEIOGD.482202,POINT (16.368195779137377 48.21734772126813),Polizeiinspektion Deutschmeisterplatz,"1., Deutschmeisterplatz 3",482202,,http://www.polizei.gv.at/
POLIZEIOGD.482203,POINT (16.37640354561627 48.2196930140366),Polizeiinspektion Leopoldsgasse,"2., Leopoldsgasse 18",482203,,http://www.polizei.gv.at/
POLIZEIOGD.482204,POINT (16.361756956440306 48.159547726423085),Polizeiinspektion Sibeliusstraﬂe,"10., Sibeliusstraﬂe 8",482204,,http://www.polizei.gv.at/
POLIZEIOGD.482205,POINT (16.35708907878944 48.19268562492988),Polizeiinspektion Schˆnbrunner Straﬂe,"5., Schˆnbrunner Straﬂe 34",482205,,http://www.polizei.gv.at/
POLIZEIOGD.482206,POINT (16.334344622221966 48.22743889760684),Polizeiinspektion Schulgasse,"18., Schulgasse 88",482206,,http://www.polizei.gv.at/
POLIZEIOGD.482207,POINT (16.331227804144277 48.219505921790834),Polizeiinspektion Rˆtzergasse,"17., Rˆtzergasse 24-26",482207,,http://www.polizei.gv.at/
POLIZEIOGD.482208,POINT (16.292983629544562 48.183133100602085),Polizeiinspektion Lainzer Straﬂe,"13., Lainzer Straﬂe 49-51",482208,,http://www.polizei.gv.at/
POLIZEIOGD.482209,POINT (16.3798466497137 48.24355046566254),Polizeiinspektion Vorgartenstraﬂe,"20., Vorgartenstraﬂe 27",482209,,http://www.polizei.gv.at/
POLIZEIOGD.482210,POINT (16.385158038383864 48.213566162780836),Polizeiinspektion Tempelgasse,"2., Tempelgasse 5A",482210,,http://www.polizei.gv.at/
POLIZEIOGD.482212,POINT (16.43625137411287 48.24392417251856),Polizeiinspektion Wagramer Straﬂe,"22., Wagramer Straﬂe 89",482212,,http://www.polizei.gv.at/
POLIZEIOGD.482214,POINT (16.386393183680415 48.28741250451846),Polizeiinspektion Berlagasse,"21., Berlagasse 1",482214,,http://www.polizei.gv.at/
POLIZEIOGD.482215,POINT (16.42004083602703 48.2534907572401),Polizeiinspektion Donaufelder Straﬂe,"21., Donaufelder Straﬂe 99",482215,,http://www.polizei.gv.at/
POLIZEIOGD.482216,POINT (16.36321962057322 48.16970168156065),Polizeiinspektion Zohmanngasse,"10., Zohmanngasse 10",482216,,http://www.polizei.gv.at/
POLIZEIOGD.482217,POINT (16.355062488272612 48.20205139128985),Polizeiinspektion Stiftgasse,"7., Stiftgasse 2A",482217,,http://www.polizei.gv.at/
POLIZEIOGD.482218,POINT (16.284899318627335 48.16937095838025),Polizeiinspektion Speisinger Straﬂe,"13., Speisinger Straﬂe 46-48",482218,,http://www.polizei.gv.at/
POLIZEIOGD.482219,POINT (16.446962762892564 48.273865783593244),Polizeiinspektion K¸rschnergasse,"21., K¸rschnergasse 18C",482219,,http://www.polizei.gv.at/
POLIZEIOGD.482220,POINT (16.41133268770879 48.19730756486758),Polizeiinspektion Sch¸ttelstraﬂe,"2., Sch¸ttelstraﬂe 113",482220,,http://www.polizei.gv.at/
POLIZEIOGD.482221,POINT (16.39693015592111 48.138086419537665),Polizeiinspektion Oberlaaer Straﬂe,"10., Oberlaaer Straﬂe 87",482221,,http://www.polizei.gv.at/
POLIZEIOGD.482013,POINT (16.332393701005167 48.18803782461203),Polizeiinspektion Sechshauser Straﬂe,"15., Sechshauser Straﬂe 44",482013,,http://www.polizei.gv.at/
POLIZEIOGD.482014,POINT (16.328745765003916 48.18257868038259),Polizeiinspektion Hufelandgasse,"12., Hufelandgasse 4",482014,,http://www.polizei.gv.at/
POLIZEIOGD.482016,POINT (16.33588703203919 48.21011366747605),Polizeiinspektion Brunnengasse,"16., Brunnengasse 40",482016,,http://www.polizei.gv.at/
POLIZEIOGD.482131,POINT (16.318556410861145 48.21360675914835),Stadtpolizeikommando Ottakring (16.u.17.Bezirk),"16., Wattgasse 15",482131,,http://www.polizei.gv.at/
POLIZEIOGD.482141,POINT (16.436352420534522 48.24387651080307),Stadtpolizeikommando Donaustadt (22.Bezirk),"22., Wagramer Straﬂe 89",482141,,http://www.polizei.gv.at/
POLIZEIOGD.482144,POINT (16.35753382863888 48.18808838713953),"Stadtpolizeikommando Margareten (4.,5.u.6.Bezirk)","5., Viktor-Christ-Gasse 19",482144,,http://www.polizei.gv.at/
POLIZEIOGD.482150,POINT (16.413214916968453 48.17538253875128),Stadtpolizeikommando Simmering (11.Bezirk),"11., Enkplatz 3",482150,,http://www.polizei.gv.at/
POLIZEIOGD.482152,POINT (16.355908572892922 48.2475616013807),Stadtpolizeikommando Dˆbling (18.u.19.Bezirk),"19., Hohe Warte 32",482152,,http://www.polizei.gv.at/
POLIZEIOGD.482153,POINT (16.368293813523305 48.217393504988266),Stadtpolizeikommando Innere Stadt (1.Bezirk),"1., Deutschmeisterplatz 3",482153,,http://www.polizei.gv.at/
POLIZEIOGD.482162,POINT (16.281335182369993 48.1353486034205),Stadtpolizeikommando Liesing (23.Bezirk),"23., Lehmanngasse 3A",482162,,http://www.polizei.gv.at/
POLIZEIOGD.482163,POINT (16.36965762547641 48.17904546586222),Stadtpolizeikommando Favoriten (10.Bezirk),"10., Van-der-N¸ll-Gasse 11",482163,,http://www.polizei.gv.at/
POLIZEIOGD.482173,POINT (16.393405242422983 48.19654811583286),Stadtpolizeikommando Landstraﬂe (3.Bezirk),"3., Juchgasse 19",482173,,http://www.polizei.gv.at/
POLIZEIOGD.482191,POINT (16.36947677563747 48.233976175399945),Stadtpolizeikommando Brigittenau (2.u.20.Bezirk),"20., Pappenheimgasse 33",482191,,http://www.polizei.gv.at/
POLIZEIOGD.482199,POINT (16.39769040831295 48.260294917458744),Stadtpolizeikommando Floridsdorf (21.Bezirk),"21., Hermann-Bahr-Straﬂe 3",482199,,http://www.polizei.gv.at/
POLIZEIOGD.482211,POINT (16.32887943493207 48.182577663574286),Stadtpolizeikommando Meidling (12.u.13.Bezirk),"12., Hufelandgasse 4",482211,,http://www.polizei.gv.at/
POLIZEIOGD.482213,POINT (16.33246594229112 48.1973940838256),Stadtpolizeikommando F¸nfhaus (14.u.15.Bezirk),"15., Tannengasse 6-10",482213,,http://www.polizei.gv.at/
POLIZEIOGD.482015,POINT (16.347956544919978 48.21049750937645),"Stadtpolizeikommando Josefstadt (7.,8.u.9.Bezirk)","8., Fuhrmannsgasse 5",482015,,http://www.polizei.gv.at/
